id,chanTitle,viewCount,time_posted,day
Y5M1i3UzkjI,IGN,973756,09:55:46 AM,Friday
7N3ERfi6WHM,FilmSelect Trailer,1877872,01:48:02 AM,Friday
ZQc34LzQeZ8,Logan Paul Vlogs,5085339,10:33:27 PM,Thursday
tx2B7FI7X3U,Music Box,422364,11:09:50 AM,Saturday
H9KDcSp6yyE,The Late Show with Stephen Colbert,659283,08:35:01 AM,Saturday
jhQNfvvXP5o,Mo-g,59429,11:21:18 PM,Saturday
i8xcbeX-URw,Pressa,268987,11:52:44 PM,Friday
WWWEErdA2EQ,Toronto FC,70739,12:41:36 AM,Sunday
ex_sBZXU6iU,H3 Podcast,592820,08:18:11 PM,Saturday
oiC_HG3u-nk,Guardian News,561074,01:25:11 PM,Saturday
2lpMOn3YbwI,Jazzy B Records,5017981,04:30:00 AM,Thursday
GMtDeNXn7Uc,SORTEDfood,119018,04:00:02 PM,Sunday
Z1ZUWfsIsRI,Comment Awards,408266,07:00:02 PM,Saturday
VY6KwlWuv2Y,GameGrumps,194795,06:00:03 PM,Sunday
vv8LUSqT3JQ,Mark Wiens,214691,01:00:09 PM,Sunday
jxRBzs9C3eU,Vat19,500238,12:30:02 PM,Saturday
